Initial temperature = 500.0
Initial alpha = 0.99
r1_2_9 1000.0/0.99 gap = 2.053692663247573
r1_2_9 1000.0/0.99 gap = 2.297153039631594
r1_2_9 1000.0/0.99 gap = 2.5899946875807007
r2_2_1 1000.0/0.99 gap = 3.094397143978802
r2_2_1 1000.0/0.99 gap = 2.9998884715245513
r2_2_1 1000.0/0.99 gap = 2.8941427475262973
r2_2_1 1000.0/0.99 gap = 3.020114160547473
r2_2_1 1000.0/0.99 gap = 2.825932489583242
r2_2_5 1000.0/0.99 gap = 3.1520439350241647
r2_2_5 1000.0/0.99 gap = 3.341945889110993
r2_2_5 1000.0/0.99 gap = 3.3443695626991907
r2_2_5 1000.0/0.99 gap = 2.90973597996905
r2_2_5 1000.0/0.99 gap = 3.1674473311373745
r2_2_9 1000.0/0.99 gap = 3.349555633174217
r2_2_9 1000.0/0.99 gap = 3.402646796289829
r2_2_9 1000.0/0.99 gap = 2.6500441456126085
r2_2_9 1000.0/0.99 gap = 3.182636705864092
r2_2_9 1000.0/0.99 gap = 3.214266309620833
c1_2_1 1000.0/0.98 gap = 7.005662637683626
c1_2_1 1000.0/0.98 gap = 6.14002854427876
c1_2_1 1000.0/0.98 gap = 6.448230772359376
c1_2_1 1000.0/0.98 gap = 6.4445370243698585
c1_2_1 1000.0/0.98 gap = 5.904770998716985
c1_2_5 1000.0/0.98 gap = 4.889799596602579
c1_2_5 1000.0/0.98 gap = 5.784089117521881
c1_2_5 1000.0/0.98 gap = 4.699252049369921
c1_2_5 1000.0/0.98 gap = 4.52247589792935
c1_2_5 1000.0/0.98 gap = 4.755866841842307
c1_2_9 1000.0/0.98 gap = 3.2751401688350814
c1_2_9 1000.0/0.98 gap = 3.7797401207996346
c1_2_9 1000.0/0.98 gap = 3.421776426832549
c1_2_9 1000.0/0.98 gap = 3.728414123413064
c1_2_9 1000.0/0.98 gap = 3.129083891300997
c2_2_1 1000.0/0.98 gap = 6.608299161937897
c2_2_1 1000.0/0.98 gap = 6.257586740117911
c2_2_1 1000.0/0.98 gap = 5.597575729334937
c2_2_1 1000.0/0.98 gap = 5.216982320617435
c2_2_1 1000.0/0.98 gap = 5.952967733918735
c2_2_5 1000.0/0.98 gap = 6.772227692471467
c2_2_5 1000.0/0.98 gap = 6.435606887191633
c2_2_5 1000.0/0.98 gap = 6.740878729009766
c2_2_5 1000.0/0.98 gap = 7.247119248476465
c2_2_5 1000.0/0.98 gap = 6.800729169438755
c2_2_9 1000.0/0.98 gap = 4.177482400298716
c2_2_9 1000.0/0.98 gap = 5.340591787109642
c2_2_9 1000.0/0.98 gap = 5.1268052785443
c2_2_9 1000.0/0.98 gap = 5.966771399688531
c2_2_9 1000.0/0.98 gap = 4.727887216196279
r1_2_1 1000.0/0.98 gap = 1.7733904529787146
r1_2_1 1000.0/0.98 gap = 1.8969138460445112
r1_2_1 1000.0/0.98 gap = 1.8407308778435303
r1_2_1 1000.0/0.98 gap = 2.0008787423366114
r1_2_1 1000.0/0.98 gap = 1.8081273214871767
r1_2_5 1000.0/0.98 gap = 1.8022912173248378
r1_2_5 1000.0/0.98 gap = 2.334229988363772
r1_2_5 1000.0/0.98 gap = 1.6561985234810035
r1_2_5 1000.0/0.98 gap = 1.467403952422916
r1_2_5 1000.0/0.98 gap = 1.8926253572419707
r1_2_9 1000.0/0.98 gap = 2.237145599880871
r1_2_9 1000.0/0.98 gap = 1.8207303719698094
r1_2_9 1000.0/0.98 gap = 2.4948131523447037
r1_2_9 1000.0/0.98 gap = 2.1182645584812296
r1_2_9 1000.0/0.98 gap = 2.21303717334383
r2_2_1 1000.0/0.98 gap = 2.9653994057762847
r2_2_1 1000.0/0.98 gap = 2.7126084056781385
r2_2_1 1000.0/0.98 gap = 2.775563999500352
r2_2_1 1000.0/0.98 gap = 2.9832311360736643
r2_2_1 1000.0/0.98 gap = 2.900953233879675
r2_2_5 1000.0/0.98 gap = 2.9970238714027313
r2_2_5 1000.0/0.98 gap = 3.104764478925032
r2_2_5 1000.0/0.98 gap = 3.2994959590589263
r2_2_5 1000.0/0.98 gap = 3.074248765144249
r2_2_5 1000.0/0.98 gap = 3.14739856064679
r2_2_9 1000.0/0.98 gap = 2.9353889341664403
r2_2_9 1000.0/0.98 gap = 2.9427821114862684
r2_2_9 1000.0/0.98 gap = 2.7775707946857118
r2_2_9 1000.0/0.98 gap = 3.0714544443150817
r2_2_9 1000.0/0.98 gap = 3.0032211743703203
c1_2_1 1000.0/0.97 gap = 6.496637912866
c1_2_1 1000.0/0.97 gap = 6.544570116506505
c1_2_1 1000.0/0.97 gap = 6.472445527385129
c1_2_1 1000.0/0.97 gap = 6.528228147173118
c1_2_1 1000.0/0.97 gap = 6.6314953948317115
c1_2_5 1000.0/0.97 gap = 5.322629114931259
c1_2_5 1000.0/0.97 gap = 5.337989489461707
c1_2_5 1000.0/0.97 gap = 5.430127865879614
c1_2_5 1000.0/0.97 gap = 5.169847708221535
c1_2_5 1000.0/0.97 gap = 5.911698525193837
c1_2_9 1000.0/0.97 gap = 3.316207994305195
c1_2_9 1000.0/0.97 gap = 3.0177886167569286
c1_2_9 1000.0/0.97 gap = 3.381917755215173
c1_2_9 1000.0/0.97 gap = 2.836449229799998
c1_2_9 1000.0/0.97 gap = 3.3429982964365696
c2_2_1 1000.0/0.97 gap = 5.8702539728561725
c2_2_1 1000.0/0.97 gap = 5.471511756340692
c2_2_1 1000.0/0.97 gap = 5.690996527633952
c2_2_1 1000.0/0.97 gap = 5.9937171229756006
c2_2_1 1000.0/0.97 gap = 5.745965014013722
c2_2_5 1000.0/0.97 gap = 6.562378582643637
c2_2_5 1000.0/0.97 gap = 6.322191766239992
c2_2_5 1000.0/0.97 gap = 6.336442504723641
c2_2_5 1000.0/0.97 gap = 6.323588897463876
c2_2_5 1000.0/0.97 gap = 7.506519945711468
c2_2_9 1000.0/0.97 gap = 4.285702576432339
c2_2_9 1000.0/0.97 gap = 5.205251222644192
c2_2_9 1000.0/0.97 gap = 4.503073686511297
c2_2_9 1000.0/0.97 gap = 4.13500724023934
c2_2_9 1000.0/0.97 gap = 5.008174640037157
r1_2_1 1000.0/0.97 gap = 1.8162040588531627
r1_2_1 1000.0/0.97 gap = 1.6586763264222615
r1_2_1 1000.0/0.97 gap = 1.852770316736029
r1_2_1 1000.0/0.97 gap = 1.682965692678474
r1_2_1 1000.0/0.97 gap = 1.693265832098345
r1_2_5 1000.0/0.97 gap = 1.7857534093177487
r1_2_5 1000.0/0.97 gap = 1.7806193492475402
r1_2_5 1000.0/0.97 gap = 1.821843706671817
r1_2_5 1000.0/0.97 gap = 1.879809817168931
r1_2_5 1000.0/0.97 gap = 1.7491467576791813
r1_2_9 1000.0/0.97 gap = 2.4579453169457914
r1_2_9 1000.0/0.97 gap = 2.538172894133944
r1_2_9 1000.0/0.97 gap = 2.0715551560899907
r1_2_9 1000.0/0.97 gap = 2.68962470919084
r1_2_9 1000.0/0.97 gap = 2.244570429738678
r2_2_1 1000.0/0.97 gap = 2.883653494410193
r2_2_1 1000.0/0.97 gap = 2.8017168693510834
r2_2_1 1000.0/0.97 gap = 2.928762301590844
r2_2_1 1000.0/0.97 gap = 2.7427562255195013
r2_2_1 1000.0/0.97 gap = 2.5387628369275235
r2_2_5 1000.0/0.97 gap = 2.91612188464383
r2_2_5 1000.0/0.97 gap = 2.9696268552538196
r2_2_5 1000.0/0.97 gap = 3.416159011996593
r2_2_5 1000.0/0.97 gap = 3.5602428425889348
r2_2_5 1000.0/0.97 gap = 3.0234823080738638
r2_2_9 1000.0/0.97 gap = 3.093750404263853
r2_2_9 1000.0/0.97 gap = 3.3344393992315804
r2_2_9 1000.0/0.97 gap = 3.225986727209223
r2_2_9 1000.0/0.97 gap = 2.9974967982302982
r2_2_9 1000.0/0.97 gap = 3.2444987775061156
c1_2_1 500.0/0.99 gap = 7.73469571872793
c1_2_1 500.0/0.99 gap = 6.963347962892438
c1_2_1 500.0/0.99 gap = 6.8315597303822795
c1_2_1 500.0/0.99 gap = 7.705292153651045
c1_2_1 500.0/0.99 gap = 6.918690216929123
c1_2_5 500.0/0.99 gap = 5.902532891693346
c1_2_5 500.0/0.99 gap = 6.492791029033514
c1_2_5 500.0/0.99 gap = 5.815275439018521
c1_2_5 500.0/0.99 gap = 6.410102514757313
c1_2_5 500.0/0.99 gap = 5.584207176033014
c1_2_9 500.0/0.99 gap = 4.357018693725254
c1_2_9 500.0/0.99 gap = 3.991768039231978
c1_2_9 500.0/0.99 gap = 4.249374030351619
c1_2_9 500.0/0.99 gap = 4.346766722597782
c1_2_9 500.0/0.99 gap = 3.91638401403528
c2_2_1 500.0/0.99 gap = 6.644910015325357
c2_2_1 500.0/0.99 gap = 6.97294591945215
c2_2_1 500.0/0.99 gap = 6.603239897002582
c2_2_1 500.0/0.99 gap = 6.16202073754988
c2_2_1 500.0/0.99 gap = 7.183631556420769
c2_2_5 500.0/0.99 gap = 8.692152114325259
c2_2_5 500.0/0.99 gap = 8.593634404023739
c2_2_5 500.0/0.99 gap = 7.691233999520984
c2_2_5 500.0/0.99 gap = 8.009720485048483
c2_2_5 500.0/0.99 gap = 8.51510232322964
c2_2_9 500.0/0.99 gap = 5.080544247424929
c2_2_9 500.0/0.99 gap = 6.209628152236278
c2_2_9 500.0/0.99 gap = 5.924914619819128
c2_2_9 500.0/0.99 gap = 5.302997185869238
c2_2_9 500.0/0.99 gap = 5.205513510559822
r1_2_1 500.0/0.99 gap = 1.904582670548966
r1_2_1 500.0/0.99 gap = 2.1061359375098014
r1_2_1 500.0/0.99 gap = 1.7028087773901537
r1_2_1 500.0/0.99 gap = 1.7911009571268242
r1_2_1 500.0/0.99 gap = 1.898076967293814
r1_2_5 500.0/0.99 gap = 1.9191988042435726
r1_2_5 500.0/0.99 gap = 1.9006192464635552
r1_2_5 500.0/0.99 gap = 1.9606656507281166
r1_2_5 500.0/0.99 gap = 2.1145078513440647
r1_2_5 500.0/0.99 gap = 1.583299658053911
r1_2_9 500.0/0.99 gap = 2.4927370837004434
r1_2_9 500.0/0.99 gap = 2.3640638175789688
r1_2_9 500.0/0.99 gap = 2.4002322927728064
r1_2_9 500.0/0.99 gap = 2.1643468412969424
r1_2_9 500.0/0.99 gap = 2.863295466834019
r2_2_1 500.0/0.99 gap = 2.9783629181202564
r2_2_1 500.0/0.99 gap = 2.8926521694519076
r2_2_1 500.0/0.99 gap = 2.950985465609079
r2_2_1 500.0/0.99 gap = 3.1382211431222626
r2_2_1 500.0/0.99 gap = 3.216920654181425
r2_2_5 500.0/0.99 gap = 3.4048128929930304
r2_2_5 500.0/0.99 gap = 3.2540461389038264
r2_2_5 500.0/0.99 gap = 3.3768634218350426
r2_2_5 500.0/0.99 gap = 3.2839262324053466
r2_2_5 500.0/0.99 gap = 3.3891659414457105
r2_2_9 500.0/0.99 gap = 3.321069585128265
r2_2_9 500.0/0.99 gap = 3.29948512955848
r2_2_9 500.0/0.99 gap = 3.069281121848359
r2_2_9 500.0/0.99 gap = 3.6824750003234135
r2_2_9 500.0/0.99 gap = 3.4115276645839
c1_2_1 500.0/0.98 gap = 6.743626528431501
c1_2_1 500.0/0.98 gap = 7.51487075579482
c1_2_1 500.0/0.98 gap = 7.024216049131652
c1_2_1 500.0/0.98 gap = 6.762472962430256
c1_2_1 500.0/0.98 gap = 7.320824012689631
c1_2_5 500.0/0.98 gap = 6.2830388038711344
c1_2_5 500.0/0.98 gap = 5.213093762143558
c1_2_5 500.0/0.98 gap = 6.03613330619345
c1_2_5 500.0/0.98 gap = 6.304424418497068
c1_2_5 500.0/0.98 gap = 6.355530985733054
c1_2_9 500.0/0.98 gap = 4.735736015050555
c1_2_9 500.0/0.98 gap = 4.434748477396264
c1_2_9 500.0/0.98 gap = 4.136282387237618
c1_2_9 500.0/0.98 gap = 3.972220465332009
c1_2_9 500.0/0.98 gap = 3.789059493263257
c2_2_1 500.0/0.98 gap = 6.614573409822034
c2_2_1 500.0/0.98 gap = 7.229145956730041
c2_2_1 500.0/0.98 gap = 6.54471189026495
c2_2_1 500.0/0.98 gap = 6.731572470971569
c2_2_1 500.0/0.98 gap = 6.71690724709716
c2_2_5 500.0/0.98 gap = 7.603627218777445
c2_2_5 500.0/0.98 gap = 7.18871916331799
c2_2_5 500.0/0.98 gap = 8.075764430369636
c2_2_5 500.0/0.98 gap = 7.777350506959046
c2_2_5 500.0/0.98 gap = 8.167509380738224
c2_2_9 500.0/0.98 gap = 5.146990519384715
c2_2_9 500.0/0.98 gap = 4.620656084077851
c2_2_9 500.0/0.98 gap = 4.976667304172018
c2_2_9 500.0/0.98 gap = 6.110712822054045
c2_2_9 500.0/0.98 gap = 6.027272478894022
r1_2_1 500.0/0.98 gap = 1.962246269421065
r1_2_1 500.0/0.98 gap = 1.9219873706917292
r1_2_1 500.0/0.98 gap = 1.9650617356206292
r1_2_1 500.0/0.98 gap = 1.9901611794043197
r1_2_1 500.0/0.98 gap = 1.7816396362123794
r1_2_5 500.0/0.98 gap = 2.1690791149974293
r1_2_5 500.0/0.98 gap = 1.803685563231898
r1_2_5 500.0/0.98 gap = 1.9169032050751484
r1_2_5 500.0/0.98 gap = 1.9914678472759821
r1_2_5 500.0/0.98 gap = 1.8131830739660624
r1_2_9 500.0/0.98 gap = 2.971387392370328
r1_2_9 500.0/0.98 gap = 2.6962119023011257
r1_2_9 500.0/0.98 gap = 2.5343395610960733
r1_2_9 500.0/0.98 gap = 2.7556239847163093
r1_2_9 500.0/0.98 gap = 2.6327055932861434
r2_2_1 500.0/0.98 gap = 3.0350400164169926
r2_2_1 500.0/0.98 gap = 3.1171924490761
r2_2_1 500.0/0.98 gap = 2.9400796536371674
r2_2_1 500.0/0.98 gap = 3.082512669634812
r2_2_1 500.0/0.98 gap = 3.208358613121102
r2_2_5 500.0/0.98 gap = 3.613528019270584
r2_2_5 500.0/0.98 gap = 3.757742538144645
r2_2_5 500.0/0.98 gap = 3.3729308926306665
r2_2_5 500.0/0.98 gap = 3.1778192284045037
r2_2_5 500.0/0.98 gap = 3.2911437897819584
r2_2_9 500.0/0.98 gap = 3.3469748127449837
r2_2_9 500.0/0.98 gap = 2.845694104862809
r2_2_9 500.0/0.98 gap = 3.55144176660069
r2_2_9 500.0/0.98 gap = 3.1386204576913603
r2_2_9 500.0/0.98 gap = 3.3486630185896704
c1_2_1 500.0/0.97 gap = 7.015665706563337
c1_2_1 500.0/0.97 gap = 6.865560144496165
c1_2_1 500.0/0.97 gap = 7.675847916674369
c1_2_1 500.0/0.97 gap = 6.522999959328103
c1_2_1 500.0/0.97 gap = 6.257535948413245
c1_2_5 500.0/0.97 gap = 5.35289946522085
c1_2_5 500.0/0.97 gap = 5.755806702318616
c1_2_5 500.0/0.97 gap = 5.810745915138509
c1_2_5 500.0/0.97 gap = 5.863959586240076
c1_2_5 500.0/0.97 gap = 6.482861901149127
c1_2_9 500.0/0.97 gap = 4.8431374008028785
c1_2_9 500.0/0.97 gap = 4.122743377867402
c1_2_9 500.0/0.97 gap = 3.946476856381874
c1_2_9 500.0/0.97 gap = 4.1338026917211605
c1_2_9 500.0/0.97 gap = 3.825565604967576
c2_2_1 500.0/0.97 gap = 6.921755270678874
c2_2_1 500.0/0.97 gap = 6.4556764210468165
c2_2_1 500.0/0.97 gap = 7.165606145328528
c2_2_1 500.0/0.97 gap = 7.080452926314048
c2_2_1 500.0/0.97 gap = 7.347825111488492
c2_2_5 500.0/0.97 gap = 7.773505069590434
c2_2_5 500.0/0.97 gap = 7.007561362890424
c2_2_5 500.0/0.97 gap = 7.640790909332835
c2_2_5 500.0/0.97 gap = 7.361550948718632
c2_2_5 500.0/0.97 gap = 7.561926178247331
c2_2_9 500.0/0.97 gap = 5.118577816635242
c2_2_9 500.0/0.97 gap = 5.104612806571771
c2_2_9 500.0/0.97 gap = 4.8316220868282285
c2_2_9 500.0/0.97 gap = 5.091308980628947
c2_2_9 500.0/0.97 gap = 5.17576022513046
r1_2_1 500.0/0.97 gap = 1.7889217639226527
r1_2_1 500.0/0.97 gap = 1.8104788560463718
r1_2_1 500.0/0.97 gap = 1.897698840536694
r1_2_1 500.0/0.97 gap = 2.107182736182908
r1_2_1 500.0/0.97 gap = 1.9317588851426923
r1_2_5 500.0/0.97 gap = 1.8974762203840136
r1_2_5 500.0/0.97 gap = 1.7291260602303329
r1_2_5 500.0/0.97 gap = 1.8293509948678333
r1_2_5 500.0/0.97 gap = 2.1458997033870584
r1_2_5 500.0/0.97 gap = 1.771149292656841
r1_2_9 500.0/0.97 gap = 2.523937796829214
r1_2_9 500.0/0.97 gap = 2.702298286139078
r1_2_9 500.0/0.97 gap = 2.7575291281900385
r1_2_9 500.0/0.97 gap = 2.980279637715463
r1_2_9 500.0/0.97 gap = 2.784654967525697
r2_2_1 500.0/0.97 gap = 3.0722994494954476
r2_2_1 500.0/0.97 gap = 3.2336733464788248
r2_2_1 500.0/0.97 gap = 3.183460438619188
r2_2_1 500.0/0.97 gap = 3.2347172530090402
r2_2_1 500.0/0.97 gap = 3.327745384951689
r2_2_5 500.0/0.97 gap = 3.504005298815787
r2_2_5 500.0/0.97 gap = 3.391132206047898
r2_2_5 500.0/0.97 gap = 3.3589531868634546
r2_2_5 500.0/0.97 gap = 3.5748799301411727
r2_2_5 500.0/0.97 gap = 3.3292334835258526
r2_2_9 500.0/0.97 gap = 3.2904619603886136
r2_2_9 500.0/0.97 gap = 3.620237771827017
r2_2_9 500.0/0.97 gap = 3.414444832537744
r2_2_9 500.0/0.97 gap = 3.5006080128329518
r2_2_9 500.0/0.97 gap = 3.4510679033906455
c1_2_1 100.0/0.99 gap = 7.5795300177107645
c1_2_1 100.0/0.99 gap = 7.262095638123623
c1_2_1 100.0/0.99 gap = 7.387715052670109
c1_2_1 100.0/0.99 gap = 7.688743127373297
c1_2_1 100.0/0.99 gap = 6.973364342575715
c1_2_5 100.0/0.99 gap = 6.258019836790589
c1_2_5 100.0/0.99 gap = 5.927047982087677
c1_2_5 100.0/0.99 gap = 6.08608648988731
c1_2_5 100.0/0.99 gap = 5.669476138487443
c1_2_5 100.0/0.99 gap = 6.452051220369723
c1_2_9 100.0/0.99 gap = 4.291952161326338
c1_2_9 100.0/0.99 gap = 4.7722754043224445
c1_2_9 100.0/0.99 gap = 3.8307296220371065
c1_2_9 100.0/0.99 gap = 3.951622684470372
c1_2_9 100.0/0.99 gap = 4.558577613415531
c2_2_1 100.0/0.99 gap = 6.764424470861116
c2_2_1 100.0/0.99 gap = 7.389779991439894
c2_2_1 100.0/0.99 gap = 6.769683068936476
c2_2_1 100.0/0.99 gap = 7.239387883306413
c2_2_1 100.0/0.99 gap = 6.514830903367436
c2_2_5 100.0/0.99 gap = 7.681959709396704
c2_2_5 100.0/0.99 gap = 7.358557096096017
c2_2_5 100.0/0.99 gap = 6.941586608829874
c2_2_5 100.0/0.99 gap = 7.77792266546025
c2_2_5 100.0/0.99 gap = 8.156412167017054
c2_2_9 100.0/0.99 gap = 5.53381055162427
c2_2_9 100.0/0.99 gap = 6.200306002568237
c2_2_9 100.0/0.99 gap = 5.68577361274282
c2_2_9 100.0/0.99 gap = 5.362995546569766
c2_2_9 100.0/0.99 gap = 5.351968525450125
r1_2_1 100.0/0.99 gap = 2.2746669704500975
r1_2_1 100.0/0.99 gap = 1.7027127302674914
r1_2_1 100.0/0.99 gap = 1.5778253426447146
r1_2_1 100.0/0.99 gap = 1.8738034869599585
r1_2_1 100.0/0.99 gap = 1.678736483901919
r1_2_5 100.0/0.99 gap = 1.5731328342359396
r1_2_5 100.0/0.99 gap = 1.580611721593888
r1_2_5 100.0/0.99 gap = 1.7475725397976891
r1_2_5 100.0/0.99 gap = 1.5754393880133324
r1_2_5 100.0/0.99 gap = 1.8474112230374624
r1_2_9 100.0/0.99 gap = 2.2405116586625846
r1_2_9 100.0/0.99 gap = 2.277240626593654
r1_2_9 100.0/0.99 gap = 2.101454651498796
r1_2_9 100.0/0.99 gap = 2.4168336030907773
r1_2_9 100.0/0.99 gap = 2.177772223079064
r2_2_1 100.0/0.99 gap = 2.659404304106926
r2_2_1 100.0/0.99 gap = 2.5111444829093763
r2_2_1 100.0/0.99 gap = 2.700196959287645
r2_2_1 100.0/0.99 gap = 2.7380134771009725
r2_2_1 100.0/0.99 gap = 2.9065592126981876
r2_2_5 100.0/0.99 gap = 2.8552924298812834
r2_2_5 100.0/0.99 gap = 2.9949625607774766
r2_2_5 100.0/0.99 gap = 2.990917164420711
r2_2_5 100.0/0.99 gap = 2.8784539576272965
r2_2_5 100.0/0.99 gap = 2.835671366494496
r2_2_9 100.0/0.99 gap = 3.0202584701362216
r2_2_9 100.0/0.99 gap = 2.7896922420149814
r2_2_9 100.0/0.99 gap = 2.6295908202998652
r2_2_9 100.0/0.99 gap = 3.211931281613435
r2_2_9 100.0/0.99 gap = 2.8315804452723783
c1_2_1 100.0/0.98 gap = 5.806166599496413
c1_2_1 100.0/0.98 gap = 5.983286807144942
c1_2_1 100.0/0.98 gap = 5.961064420591813
c1_2_1 100.0/0.98 gap = 6.855563731018235
c1_2_1 100.0/0.98 gap = 6.629459766247498
c1_2_5 100.0/0.98 gap = 4.9970344738254315
c1_2_5 100.0/0.98 gap = 4.944018060361577
c1_2_5 100.0/0.98 gap = 5.362078792028278
c1_2_5 100.0/0.98 gap = 5.5496003034732855
c1_2_5 100.0/0.98 gap = 4.48917118484114
c1_2_9 100.0/0.98 gap = 3.5170668449186806
c1_2_9 100.0/0.98 gap = 3.237580129695705
c1_2_9 100.0/0.98 gap = 4.11106729220226
c1_2_9 100.0/0.98 gap = 3.299552675082379
c1_2_9 100.0/0.98 gap = 3.1494501760404012
c2_2_1 100.0/0.98 gap = 6.2599028013640945
c2_2_1 100.0/0.98 gap = 5.690009353988044
c2_2_1 100.0/0.98 gap = 5.542388925706553
c2_2_1 100.0/0.98 gap = 5.730616362230599
c2_2_1 100.0/0.98 gap = 6.003835652846235
c2_2_5 100.0/0.98 gap = 6.626593394895812
c2_2_5 100.0/0.98 gap = 6.8385448545652965
c2_2_5 100.0/0.98 gap = 6.900151688532881
c2_2_5 100.0/0.98 gap = 5.940748330095538
c2_2_5 100.0/0.98 gap = 6.61744506834855
c2_2_9 100.0/0.98 gap = 4.8679598918062315
c2_2_9 100.0/0.98 gap = 4.190087702521789
c2_2_9 100.0/0.98 gap = 4.4661457337231205
c2_2_9 100.0/0.98 gap = 4.698860686866476
c2_2_9 100.0/0.98 gap = 4.162919045927707
r1_2_1 100.0/0.98 gap = 1.672836535949217
r1_2_1 100.0/0.98 gap = 1.6451910595701205
r1_2_1 100.0/0.98 gap = 1.899965824364409
r1_2_1 100.0/0.98 gap = 1.4883462127752085
r1_2_1 100.0/0.98 gap = 1.6470165819765867
r1_2_5 100.0/0.98 gap = 1.9019484056851448
r1_2_5 100.0/0.98 gap = 2.52040951844621
r1_2_5 100.0/0.98 gap = 1.8056898509469914
r1_2_5 100.0/0.98 gap = 1.7292420979401564
r1_2_5 100.0/0.98 gap = 1.6467674166110835
r1_2_9 100.0/0.98 gap = 1.9359602330846137
r1_2_9 100.0/0.98 gap = 2.1217189606095057
r1_2_9 100.0/0.98 gap = 2.0984759443135563
r1_2_9 100.0/0.98 gap = 2.1325237359958082
r1_2_9 100.0/0.98 gap = 2.0524647202766015
r2_2_1 100.0/0.98 gap = 2.794309148011672
r2_2_1 100.0/0.98 gap = 2.603936732126447
r2_2_1 100.0/0.98 gap = 2.85581933279205
r2_2_1 100.0/0.98 gap = 2.8235636247646747
r2_2_1 100.0/0.98 gap = 2.7614511862168674
r2_2_5 100.0/0.98 gap = 2.8428354604831316
r2_2_5 100.0/0.98 gap = 3.158513004969125
r2_2_5 100.0/0.98 gap = 3.1000359392774737
r2_2_5 100.0/0.98 gap = 3.050968429869401
r2_2_5 100.0/0.98 gap = 3.094725242738635
r2_2_9 100.0/0.98 gap = 2.9167022418856154
r2_2_9 100.0/0.98 gap = 3.1945705747661757
r2_2_9 100.0/0.98 gap = 3.0755229557185557
r2_2_9 100.0/0.98 gap = 2.8658296787881157
r2_2_9 100.0/0.98 gap = 2.9085716873002943
c1_2_1 100.0/0.97 gap = 6.268191246667679
c1_2_1 100.0/0.97 gap = 6.9004207692904975
c1_2_1 100.0/0.97 gap = 6.7341026484801665
c1_2_1 100.0/0.97 gap = 5.893760375956253
c1_2_1 100.0/0.97 gap = 6.580494311480199
c1_2_5 100.0/0.97 gap = 5.353742528820713
c1_2_5 100.0/0.97 gap = 4.833981236468613
c1_2_5 100.0/0.97 gap = 4.711233692936847
c1_2_5 100.0/0.97 gap = 5.434701800484813
c1_2_5 100.0/0.97 gap = 5.278080716493033
c1_2_9 100.0/0.97 gap = 3.458742430386844
c1_2_9 100.0/0.97 gap = 3.415523964602591
c1_2_9 100.0/0.97 gap = 3.6083147619703118
c1_2_9 100.0/0.97 gap = 3.1262716268017914
c1_2_9 100.0/0.97 gap = 3.124361783793368
c2_2_1 100.0/0.97 gap = 5.956365889353713
c2_2_1 100.0/0.97 gap = 5.600404361512651
c2_2_1 100.0/0.97 gap = 6.738245385135787
c2_2_1 100.0/0.97 gap = 5.782471454804013
c2_2_1 100.0/0.97 gap = 6.5046174529539265
c2_2_5 100.0/0.97 gap = 6.737027082169058
c2_2_5 100.0/0.97 gap = 6.949037975357271
c2_2_5 100.0/0.97 gap = 6.688998589562763
